aphia_id,species,sex,spatial_scale,ices_stock,ices_area,time_period,sample_size,l25_cm,l25_se_cm,l25_ci_lower_cm,l25_ci_upper_cm,l50_cm,l50_se_cm,l50_ci_lower_cm,l50_ci_upper_cm,l75_cm,l75_se_cm,l75_ci_lower_cm,l75_ci_upper_cm,model_auc,model_tjur_r2
126484,Merluccius merluccius,F,Global,NA,NA,2015-2019,9428,36.31,0.17,35.97,36.69,43.07,0.27,42.63,43.65,49.84,0.43,49.16,50.69,0.9,0.44
127143,Pleuronectes platessa,M,Global,NA,NA,2015-2019,16430,9.17,0.24,8.74,9.66,14.41,0.14,14.15,14.66,19.64,0.11,19.44,19.85,0.76,0.21
127143,Pleuronectes platessa,F,Global,NA,NA,2015-2019,22968,13.99,0.13,13.76,14.24,18.68,0.09,18.51,18.84,23.36,0.09,23.2,23.52,0.86,0.37
127139,Limanda limanda,M,Global,NA,NA,2015-2019,2037,8.7,0.38,8.11,9.45,11.25,0.25,10.84,11.75,13.8,0.18,13.46,14.15,0.88,0.3
127139,Limanda limanda,F,Global,NA,NA,2015-2019,3313,11.7,0.24,11.26,12.12,13.87,0.16,13.56,14.16,16.03,0.16,15.72,16.32,0.94,0.48
127160,Solea solea,F,Global,NA,NA,2015-2019,3483,19.3,0.22,18.88,19.75,22.17,0.14,21.93,22.46,25.04,0.14,24.8,25.35,0.9,0.48
127160,Solea solea,M,Global,NA,NA,2015-2019,2864,10.26,0.62,9.1,11.52,15.95,0.35,15.35,16.54,21.65,0.24,21.23,22.12,0.72,0.16
126426,Engraulis encrasicolus,M,Global,NA,NA,2015-2019,169,11.98,0.44,11.01,12.79,13.06,0.29,12.49,13.54,14.14,0.27,13.61,14.68,0.94,0.51
126417,Clupea harengus,F,Global,NA,NA,2015-2019,24883,15.09,0.1,14.9,15.27,19.02,0.07,18.89,19.14,22.94,0.06,22.83,23.05,0.83,0.31
126417,Clupea harengus,M,Global,NA,NA,2015-2019,21669,13.31,0.17,13.05,13.65,18.01,0.1,17.86,18.19,22.7,0.07,22.58,22.85,0.8,0.22
127150,Scophthalmus rhombus,F,Global,NA,NA,2015-2019,340,18.67,1.08,16.92,20.35,22.68,0.77,21.27,23.94,26.68,0.7,25.38,28.06,0.92,0.47
127023,Scomber scombrus,F,Global,NA,NA,2015-2019,3236,24.75,0.14,24.49,25.01,26.89,0.11,26.67,27.11,29.02,0.13,28.74,29.32,0.94,0.63
127023,Scomber scombrus,M,Global,NA,NA,2015-2019,3447,25.81,0.15,25.53,26.05,27.81,0.1,27.6,27.98,29.81,0.1,29.62,30.01,0.95,0.66
127149,Scophthalmus maximus,F,Global,NA,NA,2015-2019,873,15.83,1.27,12.46,17.52,19.43,0.89,17.11,20.72,23.04,0.58,21.87,24.01,0.91,0.3
126441,Pollachius virens,M,Global,NA,NA,2015-2019,2169,45.84,0.39,45.08,46.72,53.54,0.35,52.91,54.17,61.24,0.57,60.13,62.24,0.83,0.35
126441,Pollachius virens,F,Global,NA,NA,2015-2019,2095,47.26,0.44,46.41,48.18,54.43,0.39,53.61,55.17,61.59,0.5,60.56,62.36,0.85,0.39
126438,Merlangius merlangus,F,Global,NA,NA,2020-2024,24530,17.02,0.1,16.83,17.23,21.51,0.08,21.36,21.66,25.99,0.09,25.84,26.19,0.88,0.43
126438,Merlangius merlangus,M,Global,NA,NA,2020-2024,17563,14.13,0.12,13.92,14.35,18.6,0.07,18.49,18.76,23.07,0.1,22.9,23.25,0.84,0.32
126444,Trisopterus esmarkii,F,Global,NA,NA,2020-2024,4669,10.67,0.11,10.46,10.87,12.65,0.07,12.49,12.78,14.64,0.07,14.45,14.74,0.86,0.4
126444,Trisopterus esmarkii,M,Global,NA,NA,2020-2024,3006,9.34,0.16,9.02,9.6,11.34,0.1,11.12,11.5,13.33,0.1,13.15,13.51,0.83,0.31
126436,Gadus morhua,F,Global,NA,NA,2020-2024,20058,12.59,0.43,11.84,13.45,24.37,0.18,24.03,24.68,36.16,0.28,35.62,36.76,0.79,0.22
126436,Gadus morhua,M,Global,NA,NA,2020-2024,22975,4.25,0.72,2.76,5.47,17.53,0.34,16.84,18.12,30.81,0.21,30.46,31.21,0.74,0.13
126437,Melanogrammus aeglefinus,M,Global,NA,NA,2020-2024,13336,17.8,0.11,17.57,17.96,21.13,0.07,20.98,21.25,24.45,0.09,24.22,24.59,0.92,0.51
127136,Glyptocephalus cynoglossus,F,Global,NA,NA,2020-2024,786,22.87,0.51,21.92,23.88,27.73,0.38,27.1,28.49,32.59,0.46,31.82,33.49,0.83,0.34
127136,Glyptocephalus cynoglossus,M,Global,NA,NA,2020-2024,612,15.19,1.14,12.95,17.24,21.93,0.54,20.95,23.01,28.66,0.7,27.58,30.19,0.73,0.16
126425,Sprattus sprattus,F,Global,NA,NA,2020-2024,8055,7.32,0.08,7.11,7.49,9.16,0.05,9.06,9.25,11,0.05,10.91,11.1,0.79,0.24
126425,Sprattus sprattus,M,Global,NA,NA,2020-2024,5954,6.8,0.12,6.57,7.03,8.4,0.06,8.28,8.53,10.01,0.05,9.93,10.1,0.79,0.21
127143,Pleuronectes platessa,F,Global,NA,NA,2020-2024,25212,14.18,0.11,13.92,14.39,18.07,0.08,17.88,18.23,21.96,0.07,21.84,22.09,0.88,0.4
127143,Pleuronectes platessa,M,Global,NA,NA,2020-2024,18624,10.14,0.15,9.82,10.4,13.99,0.09,13.81,14.14,17.84,0.07,17.72,17.98,0.81,0.26
127139,Limanda limanda,F,Global,NA,NA,2020-2024,5958,11.47,0.17,11.17,11.81,13.98,0.11,13.83,14.22,16.48,0.11,16.28,16.69,0.92,0.46
127139,Limanda limanda,M,Global,NA,NA,2020-2024,3719,10.9,0.2,10.47,11.21,12.96,0.13,12.71,13.18,15.02,0.11,14.82,15.22,0.89,0.39
127160,Solea solea,F,Global,NA,NA,2020-2024,3359,17.37,0.28,16.81,17.9,21.05,0.2,20.72,21.38,24.73,0.17,24.42,25.04,0.87,0.37
127160,Solea solea,M,Global,NA,NA,2020-2024,2767,13.26,0.33,12.55,13.8,17.02,0.21,16.62,17.45,20.79,0.18,20.46,21.09,0.8,0.25
126426,Engraulis encrasicolus,F,Global,NA,NA,2020-2024,117,12.28,0.5,11.37,13.13,13.4,0.36,12.59,14.08,14.52,0.3,13.84,15.02,0.89,0.44
126426,Engraulis encrasicolus,M,Global,NA,NA,2020-2024,98,8.67,1.25,5.71,10.58,11.13,0.84,9.45,12.56,13.6,0.72,12.32,14.9,0.8,0.2
126417,Clupea harengus,M,Global,NA,NA,2020-2024,21356,16.75,0.07,16.64,16.9,19.97,0.05,19.86,20.06,23.18,0.06,23.08,23.29,0.85,0.37
126417,Clupea harengus,F,Global,NA,NA,2020-2024,22670,16.93,0.06,16.81,17.03,19.94,0.05,19.85,20.03,22.96,0.05,22.87,23.06,0.87,0.41
127150,Scophthalmus rhombus,F,Global,NA,NA,2020-2024,403,18.83,0.76,17.59,20.1,21.31,0.62,20.17,22.47,23.8,0.64,22.37,24.88,0.97,0.58
127149,Scophthalmus maximus,M,Global,NA,NA,2020-2024,1106,12.58,1.23,9.76,14.38,15.18,0.89,13.17,16.47,17.78,0.56,16.53,18.54,0.88,0.16
127149,Scophthalmus maximus,F,Global,NA,NA,2020-2024,1032,13.53,1.38,11.13,16.19,16.93,0.94,15.31,18.71,20.32,0.56,19.25,21.43,0.9,0.22
126437,Melanogrammus aeglefinus,F,Global,NA,NA,2020-2024,17598,20.36,0.13,20.13,20.6,24.09,0.08,23.96,24.24,27.82,0.08,27.69,27.98,0.92,0.53
127023,Scomber scombrus,M,Global,NA,NA,2020-2024,3803,27.39,0.12,27.18,27.65,29.14,0.09,28.99,29.33,30.88,0.08,30.75,31.05,0.96,0.69
126441,Pollachius virens,M,Global,NA,NA,2020-2024,1077,43.47,0.85,41.84,45,52.69,0.66,51.41,53.89,61.91,0.85,60.44,63.54,0.83,0.35
126441,Pollachius virens,F,Global,NA,NA,2020-2024,1066,45.06,0.74,43.72,46.49,52.27,0.5,51.33,53.15,59.48,0.62,58.2,60.53,0.88,0.44
127023,Scomber scombrus,F,Global,NA,NA,2020-2024,3782,26.5,0.15,26.25,26.82,28.42,0.11,28.24,28.64,30.34,0.11,30.13,30.57,0.96,0.67
126438,Merlangius merlangus,F,Global,NA,NA,2025-2029,6714,14.04,0.37,13.15,14.66,20.4,0.2,19.97,20.74,26.77,0.19,26.43,27.16,0.8,0.3
126438,Merlangius merlangus,M,Global,NA,NA,2025-2029,4698,9.11,0.74,7.59,10.45,17.51,0.38,16.8,18.14,25.9,0.28,25.37,26.41,0.73,0.16
126444,Trisopterus esmarkii,M,Global,NA,NA,2025-2029,1228,8.97,0.28,8.39,9.37,11.2,0.16,10.85,11.47,13.44,0.16,13.13,13.72,0.83,0.29
