species,ices_area,stock,comments
Trisopterus esmarkii,4.c,nop.27.3a4,
Trisopterus esmarkii,6.a,nop.27.6a,
Trisopterus esmarkii,7.a,,no
Trisopterus esmarkii,7.b,,no
Trisopterus esmarkii,7.c.2,,no
Trisopterus luscus,4.b,,no
Trisopterus luscus,4.c,,no
Trisopterus luscus,7.d,,no
Trisopterus luscus,7.e,,no
Trisopterus luscus,7.g,,no
Trisopterus luscus,7.h,,no
Trisopterus luscus,7.j.2,,no
Trisopterus luscus,8.a,,no
Trisopterus luscus,8.b,,no
Trisopterus luscus,8.c,,no
Trisopterus luscus,9.a,,no
Trisopterus minutus,4.a,,no
Trisopterus minutus,4.b,,no
Trisopterus minutus,4.c,,no
Zeus faber,8.c,,no
Zeus faber,9.a,,no
Zoarces viviparus,3.d.25,,no
Zoarces viviparus,3.d.26,,no
